# Amplitude1 Amplitude2 Frequency logL logPrior
1.930436974366025993e+01 1.622468910687998189e+01 7.812992940095184302e+00 5.789821606311609503e+05 0.000000000000000000e+00
1.695864447313577728e+01 1.975697675129822173e+01 9.171720468277472449e+00 5.791056498923188774e+05 0.000000000000000000e+00
1.722964405738043325e+01 1.948160094997435365e+01 8.419070356402452049e+00 5.791578286170138745e+05 0.000000000000000000e+00
1.622373107392417069e+01 1.991270249426506211e+01 9.127991283896504271e+00 5.792587379625650356e+05 0.000000000000000000e+00
1.824318440038808831e+01 1.848369470502464651e+01 9.734220123276646319e+00 5.793466188922750298e+05 0.000000000000000000e+00
1.945329384805363304e+01 1.702894705163602751e+01 9.406370043736746567e+00 5.794089144598876592e+05 0.000000000000000000e+00
1.999844146155781743e+01 1.637922568378504806e+01 9.940177168850139466e+00 5.798602363874367438e+05 0.000000000000000000e+00
1.792092958934623681e+01 1.781606699255844362e+01 5.690620781626742897e+00 5.799889241346044000e+05 0.000000000000000000e+00
1.759469816235073836e+01 1.828919108960982953e+01 8.203546876268969612e+00 5.801866236293060938e+05 0.000000000000000000e+00
1.688924786354128571e+01 1.918895375054640340e+01 7.482949163427897510e+00 5.802471068970800843e+05 0.000000000000000000e+00
1.912554418561462910e+01 1.712608137516300033e+01 5.040117746513140595e+00 5.804561552630213555e+05 0.000000000000000000e+00
1.825912642422658294e+01 1.918377923907149452e+01 7.055671345436297592e+00 5.807192942070007557e+05 0.000000000000000000e+00
1.588357266861210881e+01 1.988624970318683438e+01 5.752982041929866064e+00 5.811302618659350555e+05 0.000000000000000000e+00
1.709532371799548045e+01 1.965345438320586524e+01 8.093891468123196375e+00 5.817427669094140874e+05 0.000000000000000000e+00
1.794274369315440509e+01 1.818077087946065262e+01 5.598853229031253598e+00 5.817469505961405812e+05 0.000000000000000000e+00
1.784076113698386834e+01 1.527243794597273663e+01 6.980977399219379542e+00 5.818373226527505321e+05 0.000000000000000000e+00
1.968163329836276887e+01 1.282973857716142341e+01 7.017806831345063223e+00 5.818710893736967118e+05 0.000000000000000000e+00
1.689443620136680124e+01 1.922109555373268108e+01 8.793592790943549176e+00 5.819603429640290560e+05 0.000000000000000000e+00
